1,union jeu_1_100.txt et jeu_2_100.txt,3.600120544433594e-05
2,union jeu_1_100.txt' et jeu_3_100.txt,3.790855407714844e-05
3,union jeu_1_100.txt'' et jeu_4_100.txt,4.124641418457031e-05
4,union jeu_1_100.txt''' et jeu_5_100.txt,2.7179718017578125e-05
5,union jeu_1_1000.txt et jeu_2_1000.txt,6.4849853515625e-05
6,union jeu_1_1000.txt' et jeu_3_1000.txt,6.890296936035156e-05
7,union jeu_1_1000.txt'' et jeu_4_1000.txt,7.05718994140625e-05
8,union jeu_1_1000.txt''' et jeu_5_1000.txt,7.05718994140625e-05
9,union jeu_1_10000.txt et jeu_2_10000.txt,6.556510925292969e-05
10,union jeu_1_10000.txt' et jeu_3_10000.txt,5.602836608886719e-05
11,union jeu_1_10000.txt'' et jeu_4_10000.txt,7.462501525878906e-05
12,union jeu_1_10000.txt''' et jeu_5_10000.txt,6.079673767089844e-05
13,union jeu_1_200.txt et jeu_2_200.txt,4.601478576660156e-05
14,union jeu_1_200.txt' et jeu_3_200.txt,3.6716461181640625e-05
15,union jeu_1_200.txt'' et jeu_4_200.txt,4.0531158447265625e-05
16,union jeu_1_200.txt''' et jeu_5_200.txt,2.6941299438476562e-05
17,union jeu_1_20000.txt et jeu_2_20000.txt,0.0026187896728515625
18,union jeu_1_20000.txt' et jeu_3_20000.txt,5.793571472167969e-05
19,union jeu_1_20000.txt'' et jeu_4_20000.txt,8.20159912109375e-05
20,union jeu_1_20000.txt''' et jeu_5_20000.txt,5.91278076171875e-05
21,union jeu_1_500.txt et jeu_2_500.txt,7.891654968261719e-05
22,union jeu_1_500.txt' et jeu_3_500.txt,6.651878356933594e-05
23,union jeu_1_500.txt'' et jeu_4_500.txt,6.67572021484375e-05
24,union jeu_1_500.txt''' et jeu_5_500.txt,6.699562072753906e-05
25,union jeu_1_5000.txt et jeu_2_5000.txt,0.005219459533691406
26,union jeu_1_5000.txt' et jeu_3_5000.txt,5.91278076171875e-05
27,union jeu_1_5000.txt'' et jeu_4_5000.txt,7.62939453125e-05
28,union jeu_1_5000.txt''' et jeu_5_5000.txt,5.9604644775390625e-05
29,union jeu_1_50000.txt et jeu_2_50000.txt,0.00010728836059570312
30,union jeu_1_50000.txt' et jeu_3_50000.txt,7.915496826171875e-05
31,union jeu_1_50000.txt'' et jeu_4_50000.txt,8.153915405273438e-05
32,union jeu_1_50000.txt''' et jeu_5_50000.txt,6.532669067382812e-05
-1,total du temps en seconde pour tout les fichiers : ,0.009669303894042969
